license_plate,price,make,mileage,year,fuel_type,transmission,body_type,engine_size,car_tier,engine_tier,year_band
BT20PMY,16700.0,VAUXHALL,6223.0,2020.0,Diesel,Manual,Hatchback,1.5,T3,1-2L,>2020
GJ68UUC,10194.0,VAUXHALL,36860.0,2018.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,2015-2019
YS20VYR,12995.0,VAUXHALL,12.0,2020.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,>2020
WJ09HGD,4495.0,VAUXHALL,42202.0,2009.0,Petrol,Automatic,Hatchback,1.4,T3,1-2L,<2010
YL68DFJ,10300.0,SUZUKI,22610.0,2018.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
PK63DMO,5199.0,VAUXHALL,47848.0,2013.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,2010-2014
FE67XYA,8899.0,VAUXHALL,26283.0,2017.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,2015-2019
KM65UAP,9995.0,SKODA,76871.0,2015.0,Petrol,Automatic,Estate,1.2,T3,1-2L,2015-2019
FP21XLX,45999.0,TOYOTA,1250.0,2021.0,Petrol,Automatic,Convertible,3.0,T3,2-3L,>2020
DN19NFU,14500.0,VAUXHALL,20466.0,2019.0,Diesel,Manual,Estate,1.5,T3,1-2L,2015-2019
YG68CEU,13000.0,VAUXHALL,17369.0,2018.0,Diesel,Manual,Estate,1.5,T3,1-2L,2015-2019
PO15XSK,6995.0,VAUXHALL,40000.0,2015.0,Diesel,Manual,Estate,2.0,T3,1-2L,2015-2019
HX64XFD,5995.0,RENAULT,46007.0,2014.0,Petrol,Manual,Hatchback,1.1,T2,1-2L,2010-2014
PL18VPT,7303.0,PEUGEOT,22442.0,2018.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,2015-2019
PF67VZD,8586.0,PEUGEOT,13889.0,2018.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
PL18FVU,10250.0,PEUGEOT,4752.0,2018.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
WF67YYW,9995.0,PEUGEOT,15891.0,2017.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
YM17AVW,10995.0,PEUGEOT,32500.0,2017.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
PF19VAH,23995.0,PEUGEOT,10600.0,2019.0,Diesel,Manual,Estate,1.5,T1,1-2L,2015-2019
SE12BVK,6990.0,MINI,0.0,2012.0,Diesel,Manual,Hatchback,2.0,T2,1-2L,2010-2014
SL61AYX,4195.0,NISSAN,105106.0,2011.0,Petrol,Manual,Hatchback,1.6,T3,1-2L,2010-2014
MJ17WXZ,11024.0,PEUGEOT,45710.0,2017.0,Diesel,Automatic,Hatchback,2.0,T1,1-2L,2015-2019
LV64YTR,7890.0,NISSAN,66964.0,2014.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2010-2014
